	CAPHI	IPA	Sound	Letter	HSB	Mapping	Example CODA	Example	Example Gloss	Example Dialect	Consonant/Vowel	CAPHI sorting order	CODA sorting order	audio URL	audio icon
1	p	p	pet	ب	b	default	بري	p r i	price	Algiers	consonant	1	8	https://drive.google.com/file/d/0BxiVQ46wWCOFd1ozWm9mdm5Oc00/view?usp=sharing,%20	🔊
2	p.	pˤ	emphatic p	ب	b	default	بمب	p. a m. p.	pump	Baghdad	consonant	2	8	https://drive.google.com/file/d/0BxiVQ46wWCOFaUNmMXFRRzY0WlU/view?usp=sharing,%20	🔊
3	b	b	bit	ب	b	default	باب	b ee b	door	Sfax	consonant	3	8	https://drive.google.com/file/d/0BxiVQ46wWCOFNUJjVzlPUVRZVlk/view?usp=sharing,%20	🔊
4	b.	bˤ	emphatic b	ب	b	default	ياباني	y aa b. aa n i	Japanese	Muscat	consonant	4	8	https://drive.google.com/file/d/0BxiVQ46wWCOFclFQMDQ2UHNva2c/view?usp=sharing,%20	🔊
5	f	f	fit	ف	f	default	فردي	f a r d i	single	Tripoli	consonant	5	33	https://drive.google.com/file/d/0BxiVQ46wWCOFOHFRR3NNcExNNVE/view?usp=sharing,%20	🔊
6	f.	fˤ	emphatic f	ف	f	default	فكّ	f. a k k	he opened	Baghdad	consonant	6	33	https://drive.google.com/file/d/0BxiVQ46wWCOFSV9WUDBxRWVSRDA/view?usp=sharing,%20	🔊
7	v	v	van	ف	f	default	رونديفو	r oo n d ii v uu	appointment	Algiers	consonant	7	33	https://drive.google.com/file/d/0BxiVQ46wWCOFN1JPNkFXTWt1ZWs/view?usp=sharing,%20	🔊
8	t	t	tip	ت	t	default	تفاح	t i f f ee 7	apple	Beirut	consonant	8	10	https://drive.google.com/file/d/0BxiVQ46wWCOFNWJYZ2EzdVo3bTA/view?usp=sharing,%20	🔊
9	t	t	tip	ث	θ		ثامن	t aa m i n	eighth	Jeddah	consonant	8	11	https://drive.google.com/file/d/0BxiVQ46wWCOFSGZ4aUpJalBDODg/view?usp=sharing,%20	🔊
10	t.	tˤ	emphatic t	ط	T	default	طبق	t. a b a g	dish	Riyadh	consonant	9	23	https://drive.google.com/file/d/0BxiVQ46wWCOFRUxXb0ZqQVhzQm8/view?usp=sharing,%20	🔊
11	t.	tˤ	emphatic t	ت	t		فستان	f u s t. aa n	dress	Amman	consonant	9	10	https://drive.google.com/file/d/0BxiVQ46wWCOFeG1LUldXNWtSZmc/view?usp=sharing,%20	🔊
12	d	d	dip	د	d	default	جديد	j d ii d	new	Algiers	consonant	10	15	https://drive.google.com/file/d/0BxiVQ46wWCOFd09ZY1ozWUpvT1E/view?usp=sharing,%20	🔊
13	d	d	dip	ت	t		اتدشدش	2 i d d a sh d a sh	he got smashed	Cairo	consonant	10	10		
14	d	d	dip	ذ	ð		ذيل	d ee l	tail	Beirut	consonant	10	16	https://drive.google.com/file/d/0BxiVQ46wWCOFcFFydUFsQ0VlZEk/view?usp=sharing,%20	🔊
15	d	d	dip	ض	D		ضحك	d i 7 i k	he laughed	Cairo	consonant	10	22		
16	d.	dˤ	emphatic d	ض	D	default	ضرس	d. i r s	tooth	Jeddah	consonant	11	22	https://drive.google.com/file/d/0BxiVQ46wWCOFYW0zaGpnVmhVR2s/view?usp=sharing,%20	🔊
17	d.	dˤ	emphatic d	ت	t		اتضرب	2 i d. d. a r a b	he got hit	Cairo	consonant	11	10		
18	d.	dˤ	emphatic d	د	d		ضفدعة	d. u f d. a 3 a	frog	Cairo	consonant	11	15	https://drive.google.com/file/d/0BxiVQ46wWCOFMnR0RTNacWhmX0E/view?usp=sharing,%20	🔊
19	d.	dˤ	emphatic d	ظ	Ď		ظهرية	d. u h r i y y a	shaddow	Jeddah	consonant	11	24	https://drive.google.com/file/d/0BxiVQ46wWCOFWkVHcG5PU0U5dnM/view?usp=sharing,%20	🔊
20	th	θ	third	ث	θ	default	ثياب	th y aa b	clothes	Salt	consonant	12	11	https://drive.google.com/file/d/0BxiVQ46wWCOFWmEzX2dfbTJBaWM/view?usp=sharing,%20	🔊
21	dh	ð	the	ذ	ð	default	ذراع	dh r aa 3	arm	Muscat	consonant	13	16	https://drive.google.com/file/d/0BxiVQ46wWCOFZHB0YTd4c2I1ZVU/view?usp=sharing,%20	🔊
22	dh.	ðˤ	emphatic ð	ظ	Ď	default	ظاهر	dh. aa h i r	appearing	Abu Dhabi	consonant	14	24	https://drive.google.com/file/d/0BxiVQ46wWCOFUEpaRTdYRDQ5Ulk/view?usp=sharing,%20	🔊
23	dh.	ðˤ	emphatic ð	ذ	ð		ذوق	dh. oo g	tasting	Baghdad	consonant	14	16	https://drive.google.com/file/d/0BxiVQ46wWCOFQzEwN3ZFaUhkeWM/view?usp=sharing,%20	🔊
24	dh.	ðˤ	emphatic ð	ض	D		ضغط	dh. a gh a t.	he pressed	Jerusalem	consonant	14	22	https://drive.google.com/file/d/0BxiVQ46wWCOFX2cwd3pzOEhnbGc/view?usp=sharing,%20	🔊
25	s	s	sit	س	s	default	اساسي	2 a s aa s i	main	Rabat	consonant	15	19	https://drive.google.com/file/d/0BxiVQ46wWCOFd1lveU1sUEFaZXM/view?usp=sharing,%20	🔊
